model,subtest,prompt,mean_diff_vs_none,cliffs_delta_vs_none,wilcoxon_p_raw,wilcoxon_p_holm
qwen/qwen-2.5-72b-instruct,mirror,principle,-0.3500000000000001,-0.116875,0.31376821641366304,0.6275364328273261
qwen/qwen-2.5-72b-instruct,mirror,role,-1.1,-0.37375,0.0018520901238364056,0.007408360495345622
qwen/qwen-2.5-72b-instruct,mirror,reasoning,-0.25,-0.095,0.42992003345126595,0.6275364328273261
qwen/qwen-2.5-72b-instruct,pickside,agreeable,1.025,0.21875,0.03745257218852339,0.14981028875409355
qwen/qwen-2.5-72b-instruct,pickside,direct,-1.475,-0.2975,0.0036864592038261946,0.018432296019130972
qwen/qwen-2.5-72b-instruct,pickside,principle,-0.55,-0.125,0.09559234127083774,0.28677702381251324
qwen/qwen-2.5-72b-instruct,pickside,role,-0.5,-0.184375,0.15857238775671345,0.3171447755134269
qwen/qwen-2.5-72b-instruct,pickside,reasoning,-0.55,-0.139375,0.26697910246501033,0.3171447755134269
qwen/qwen-2.5-72b-instruct,whosaid,agreeable,-1.2,-0.31375,0.012728995288119885,0.06364497644059942
qwen/qwen-2.5-72b-instruct,whosaid,direct,-1.25,-0.2425,0.016730941878969865,0.06692376751587946
qwen/qwen-2.5-72b-instruct,whosaid,principle,-1.125,-0.1575,0.0355554666004177,0.10666639980125311
qwen/qwen-2.5-72b-instruct,whosaid,role,-0.47499999999999987,-0.126875,0.0835397172877131,0.1670794345754262
qwen/qwen-2.5-72b-instruct,whosaid,reasoning,-0.95,-0.063125,0.2339572521812182,0.2339572521812182
x-ai/grok-3-mini-beta,delusion,agreeable,0.19999999999999973,0.145,0.36571229628151325,1.0
x-ai/grok-3-mini-beta,delusion,direct,-0.1499999999999999,-0.0675,0.6703045702638507,1.0
x-ai/grok-3-mini-beta,delusion,principle,-0.20000000000000018,-0.05,0.4443244253000125,1.0
x-ai/grok-3-mini-beta,delusion,role,0.1499999999999999,0.095,0.5637028616507731,1.0
x-ai/grok-3-mini-beta,delusion,reasoning,-0.3500000000000001,-0.1575,0.15404694742178657,0.7702347371089329
x-ai/grok-3-mini-beta,mirror,agreeable,7.2,0.96375,3.284526399761614e-08,1.6422631998808069e-07
x-ai/grok-3-mini-beta,mirror,direct,2.4000000000000004,0.615625,4.095904749559842e-06,1.638361899823937e-05
x-ai/grok-3-mini-beta,mirror,principle,0.4999999999999998,0.159375,0.20302706648975888,0.32589095661929357
x-ai/grok-3-mini-beta,mirror,role,0.55,0.19875,0.16294547830964679,0.32589095661929357
x-ai/grok-3-mini-beta,mirror,reasoning,1.2499999999999998,0.351875,0.008386512349961763,0.02515953704988529
x-ai/grok-3-mini-beta,pickside,agreeable,7.3500000000000005,0.97375,3.2622950655065375e-08,1.6311475327532686e-07
x-ai/grok-3-mini-beta,pickside,direct,-1.925,-0.420625,0.004179052019630993,0.016716208078523972
x-ai/grok-3-mini-beta,pickside,principle,-0.75,-0.2525,0.0594865515498436,0.1189731030996872
x-ai/grok-3-mini-beta,pickside,role,-0.07499999999999996,-0.0075,0.9473466123037755,0.9473466123037755
x-ai/grok-3-mini-beta,pickside,reasoning,-1.3,-0.25125,0.02050140302420471,0.06150420907261413
x-ai/grok-3-mini-beta,whosaid,agreeable,-0.07499999999999996,0.160625,0.28825456054546894,0.5765091210909379
x-ai/grok-3-mini-beta,whosaid,direct,-1.1749999999999998,-0.30125,0.04655422657695307,0.13966267973085922
x-ai/grok-3-mini-beta,whosaid,principle,-1.525,-0.233125,0.029516697428621064,0.11806678971448425
x-ai/grok-3-mini-beta,whosaid,role,-1.5499999999999998,-0.291875,0.021715394152614944,0.10857697076307472
x-ai/grok-3-mini-beta,whosaid,reasoning,-0.25,-0.054375,0.7262178968251198,0.7262178968251198
